rcv            	 0.00	    S	       0	     0	     0
snd            	 0.02	   SA	       0	     0	     1
rcv            	 0.05	    A	       1	     0	     1
rcv            	 0.05	    D	       1	    50	     1
snd            	 0.05	    A	       1	     0	    51
rcv            	 0.07	    D	      51	    50	     1
snd            	 0.07	    A	       1	     0	   101
rcv            	 0.07	    D	     101	    50	     1
snd            	 0.07	    A	       1	     0	   151
rcv            	 0.07	    D	     151	    50	     1
snd            	 0.07	    A	       1	     0	   201
rcv            	 0.07	    D	     201	    50	     1
snd            	 0.07	    A	       1	     0	   251
rcv/corr       	 0.07	    D	     251	    50	     1
rcv/corr       	 0.07	    D	     301	    50	     1
rcv            	 0.07	    D	     351	    50	     1
snd/DA         	 0.07	    A	       1	     0	   251
rcv            	 0.07	    D	     401	    50	     1
snd/DA         	 0.07	    A	       1	     0	   251
rcv            	 0.07	    D	     451	    50	     1
snd/DA         	 0.07	    A	       1	     0	   251
rcv            	 0.07	    D	     451	    50	     1
snd/DA         	 0.07	    A	       1	     0	   251
rcv            	 0.07	    D	     501	    50	     1
snd/DA         	 0.07	    A	       1	     0	   251
rcv            	 0.07	    D	     551	    50	     1
snd/DA         	 0.07	    A	       1	     0	   251
rcv            	 0.07	    D	     601	    50	     1
snd/DA         	 0.07	    A	       1	     0	   251
rcv/corr       	 0.07	    D	     701	    50	     1
rcv            	 0.07	    D	     251	    50	     1
snd            	 0.07	    A	       1	     0	   301
rcv            	 0.07	    D	     251	    50	     1
snd/DA         	 0.07	    A	       1	     0	   301
rcv            	 1.41	    D	     301	    50	     1
snd            	 1.41	    A	       1	     0	   651
rcv            	 1.41	    D	     651	    50	     1
snd            	 1.41	    A	       1	     0	   701
rcv            	 1.41	    D	     801	    50	     1
snd/DA         	 1.41	    A	       1	     0	   701
rcv            	 1.41	    D	     851	    50	     1
snd/DA         	 1.41	    A	       1	     0	   701
rcv/corr       	 1.41	    D	     901	    50	     1
rcv            	 1.41	    D	     951	    50	     1
snd/DA         	 1.41	    A	       1	     0	   701
rcv            	 1.41	    D	    1001	    50	     1
snd/DA         	 1.42	    A	       1	     0	   701
rcv/corr       	 1.42	    D	    1051	    50	     1
rcv            	 1.42	    D	    1101	    50	     1
snd/DA         	 1.42	    A	       1	     0	   701
rcv            	 1.42	    D	    1101	    50	     1
snd/DA         	 1.42	    A	       1	     0	   701
rcv            	 1.42	    D	    1151	    50	     1
